GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DSR Data Management Service,ph.gov.dsr.datamanagement.entity,DataIngestionBatch,889,108,190,0,34,18,126,24,31,24
DSR Data Management Service,ph.gov.dsr.datamanagement.entity,DataIngestionRecord,938,0,174,0,49,0,142,0,55,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,MockDataIngestionServiceImpl,270,0,0,0,77,0,8,0,8,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,MockLegacyDataParserServiceImpl,579,0,43,0,105,0,35,0,12,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,MockDeduplicationServiceImpl,213,0,4,0,49,0,10,0,8,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,MockValidationRuleEngineImpl,301,0,21,0,69,0,28,0,15,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,PhilSysIntegrationServiceImpl,209,539,36,46,66,124,34,21,2,12
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,DeduplicationServiceImpl,1092,0,132,0,205,0,88,0,21,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,DataValidationServiceImpl.ValidationWarning,31,0,0,0,9,0,9,0,9,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,MockPhilSysIntegrationServiceImpl,349,0,28,0,101,0,22,0,8,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,ValidationRuleEngineImpl,852,0,56,0,209,0,68,0,36,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,DataValidationServiceImpl.ValidationResult,71,0,4,0,18,0,18,0,16,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,DataValidationServiceImpl,417,0,22,0,100,0,20,0,9,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,MockDataCleaningServiceImpl,431,0,59,0,105,0,45,0,14,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,DataIngestionServiceImpl,126,732,13,35,22,183,14,22,1,11
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,MockDataValidationServiceImpl,203,0,14,0,47,0,16,0,8,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,DataValidationServiceImpl.ValidationRule,52,0,0,0,15,0,15,0,15,0
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,LegacyDataParserServiceImpl,195,981,28,62,40,200,25,51,1,27
DSR Data Management Service,ph.gov.dsr.datamanagement.service.impl,DataCleaningServiceImpl,805,0,106,0,186,0,73,0,17,0
DSR Data Management Service,ph.gov.dsr.datamanagement.config,NoDbConfig,31,0,0,0,8,0,8,0,8,0
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,PhilSysVerificationResponse,643,74,128,0,9,10,84,21,20,21
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,DataIngestionResponse.ValidationError,147,31,32,0,0,5,20,9,4,9
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,DeduplicationRequest,252,23,40,0,3,5,36,3,16,3
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,PhilSysVerificationResponse.VerifiedPersonInfo,422,0,82,0,11,0,66,0,25,0
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,PhilSysVerificationRequest,384,44,82,0,3,8,55,11,14,11
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,DeduplicationResponse.FieldMatch,227,0,40,0,6,0,35,0,15,0
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,ValidationResponse.ValidationWarning,195,0,38,0,5,0,32,0,13,0
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,DeduplicationResponse,219,17,38,0,4,3,31,5,12,5
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,DeduplicationResponse.DuplicateMatch,227,0,40,0,6,0,35,0,15,0
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,DataIngestionRequest,336,82,78,0,0,11,43,21,4,21
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,ValidationRequest,234,24,46,0,3,4,36,4,13,4
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,ValidationResponse,269,24,52,0,4,4,38,7,12,7
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,ValidationResponse.ValidationError,215,20,46,0,2,4,32,6,9,6
DSR Data Management Service,ph.gov.dsr.datamanagement.dto,DataIngestionResponse,360,87,78,0,0,13,43,25,4,25
DSR Data Management Service,ph.gov.dsr.datamanagement.service,LegacyDataParserService.FileMetadata,0,45,0,0,0,13,0,13,0,13
DSR Data Management Service,ph.gov.dsr.datamanagement.controller,DataIngestionController,0,100,0,0,0,20,0,8,0,8
DSR Data Management Service,ph.gov.dsr.datamanagement.controller,DataValidationController,90,0,0,0,20,0,8,0,8,0
DSR Data Management Service,ph.gov.dsr.datamanagement.controller,PhilSysIntegrationController,82,0,0,0,20,0,8,0,8,0
DSR Data Management Service,ph.gov.dsr.datamanagement.controller,DeduplicationController,113,0,0,0,20,0,8,0,8,0
DSR Data Management Service,ph.gov.dsr.datamanagement.controller,HealthController,62,0,0,0,15,0,4,0,4,0
DSR Data Management Service,ph.gov.dsr.datamanagement,DataManagementServiceApplication,5,3,0,0,2,1,1,1,1,1
